age,ed,employ,address,income,debtinc,creddebt,othdebt,default
37,2,4,11,20,21.7,0.1736,4.1664,true
41,3,12,11,86,26.5,4.99101,17.79899,true
32,1,0,4,20,3,0.2634,0.3366,true
22,2,0,1,35,9,0.7812,2.3688,true
32,2,12,3,63,18.2,5.549544,5.916456,false
47,2,17,23,41,9.5,0.455715,3.439285,false
40,1,21,21,46,6.2,0.966828,1.885172,false
31,1,8,1,22,6.7,0.369974,1.104026,false
34,3,7,0,27,2.2,0.125334,0.468666,false
52,4,13,17,234,7.7,7.38738,10.63062,false
28,1,2,2,17,2.5,0.199325,0.225675,true
38,3,15,18,63,13.4,5.090526,3.351474,false
33,2,10,4,26,3.1,0.030628,0.775372,false
39,2,9,12,32,6.6,1.429824,0.682176,false
47,3,23,11,115,4,0.6532,3.9468,false
36,2,11,8,49,1.3,0.272636,0.364364,false
29,3,7,2,84,13.6,6.91152,4.51248,true
48,4,14,10,59,16.5,4.935645,4.799355,true
38,3,12,18,64,5.8,0.894592,2.817408,false
46,2,9,26,15,4.3,0.014835,0.630165,false
27,3,5,4,42,19.9,2.707992,5.650008,true
54,1,18,34,114,8.5,3.2946,6.3954,false
27,4,0,0,25,12.7,1.419225,1.755775,true
23,1,1,0,17,1.6,0.011696,0.260304,false
41,1,23,2,91,13.7,0.573482,11.893518,false
24,1,3,5,15,11.3,0.072885,1.622115,true
28,1,9,0,22,27.7,5.283498,0.810502,true
26,1,0,0,14,10.5,0.25578,1.21422,false
24,1,8,0,17,5.6,0.569296,0.382704,true
49,2,22,4,79,7.3,0.28835,5.47865,false
28,2,3,1,36,8.6,0.383904,2.712096,false
38,1,6,17,18,13,0.13104,2.20896,false
33,2,2,9,37,4.5,0.834165,0.830835,false
26,1,8,4,25,4.7,0.210325,0.964675,false
36,1,9,1,40,9.8,1.97568,1.94432,false
37,3,16,14,50,36.6,7.32,10.98,true
25,4,0,1,18,33.4,2.801592,3.210408,true
29,1,9,2,33,4.8,0.693792,0.890208,false
27,2,8,4,38,6.9,0.364458,2.257542,false
45,1,17,0,62,15,2.4366,6.8634,false
37,1,9,8,57,5.5,1.357455,1.777545,false
29,2,3,6,26,6.1,0.537654,1.048346,true
51,1,10,1,44,13.2,4.960032,0.847968,true
22,3,0,0,23,8.4,0.372876,1.559124,true
30,4,7,10,30,15.7,0.26376,4.44624,false
31,1,7,2,20,12.3,0.1107,2.3493,false
28,1,2,0,18,14.8,1.939392,0.724608,true
35,1,10,16,39,5.7,0.217854,2.005146,false
25,4,1,1,34,8.5,0.13294,2.75706,true
32,2,5,0,28,14.8,2.594144,1.549856,true
33,1,2,10,24,9.6,1.041408,1.262592,false
28,2,3,4,41,25.1,5.896743,4.394257,true
46,3,4,17,73,5.4,2.223288,1.718712,false
41,1,24,12,83,14,6.58854,5.03146,false
42,2,11,5,73,6.8,2.869192,2.094808,false
41,4,9,13,47,5,0.4371,1.9129,false
26,1,3,5,29,25.7,2.526567,4.926433,true
47,1,27,8,113,9.2,2.380684,8.015316,false
29,1,1,3,18,25.6,1.98144,2.62656,true
34,1,3,14,36,4.7,0.624348,1.067652,false
36,1,7,2,43,6.2,1.03974,1.62626,false
38,2,7,4,64,3,0.65088,1.26912,false
41,2,4,14,26,19.2,1.47264,3.51936,true
46,1,9,23,31,13.8,1.617084,2.660916,false
40,3,3,15,55,16.5,1.751475,7.323525,true
44,2,17,0,129,2.5,0.551475,2.673525,false
35,3,10,15,39,10.4,1.60212,2.45388,false
36,1,20,15,60,5.4,1.05624,2.18376,false
28,2,0,3,30,4.8,0.12096,1.31904,true
29,2,6,7,18,5.1,0.44982,0.46818,true
23,2,3,3,22,11.4,1.274064,1.233936,true
41,2,7,17,63,15.4,4.637556,5.064444,false
25,1,1,1,19,6.9,0.190095,1.120905,false
45,2,2,19,29,5.4,0.443178,1.122822,false
48,2,30,14,148,7.2,3.974688,6.681312,false
38,1,18,7,45,7,0.5355,2.6145,false
29,1,6,4,46,5.4,1.169964,1.314036,false
42,4,15,8,186,3.6,2.403864,4.292136,false
31,1,11,12,47,10.9,2.863757,2.259243,false
40,1,3,13,23,6.9,0.409446,1.177554,false
26,1,2,6,21,19.8,1.022868,3.135132,false
25,1,6,6,22,20.2,2.261996,2.182004,false
53,4,7,11,61,7.9,1.874591,2.944409,false
50,3,18,27,102,14.1,5.781564,8.600436,false
47,1,31,9,136,23.1,14.231448,17.184552,true
23,1,1,0,21,8.4,1.210104,0.553896,true
37,3,12,8,83,4.1,0.319882,3.083118,false
41,1,24,15,100,11.5,5.06,6.44,false
28,2,0,7,29,13.3,2.148349,1.708651,true
31,1,7,11,41,30.7,2.995706,9.591294,true
41,2,6,1,19,6.3,0.124488,1.072512,false
36,1,7,17,40,9.9,1.69488,2.26512,false
41,1,1,16,19,4.4,0.241604,0.594396,false
53,2,16,31,44,5.6,1.333024,1.130976,false
31,2,6,5,25,11.5,2.331625,0.543375,false
28,2,5,6,25,2.9,0.338575,0.386425,false
48,1,28,25,70,12,4.3344,4.0656,false
23,2,0,1,42,3.9,1.018836,0.619164,true
31,1,11,6,34,6.8,0.298248,2.013752,false
27,1,6,6,43,4.9,0.882833,1.224167,false
43,1,11,17,37,1.3,0.179894,0.301106,false
29,2,5,7,28,18.7,2.125816,3.110184,false
53,1,6,7,27,6.4,0.594432,1.133568,true
38,1,4,9,19,13.6,1.245488,1.338512,false
30,1,12,10,38,8.5,0.17119,3.05881,false
28,3,2,0,20,9.4,0.23312,1.64688,true
36,1,11,2,33,32.5,1.26555,9.45945,false
48,1,15,5,60,2.1,0.3213,0.9387,false
31,1,12,9,24,6.6,0.441936,1.142064,false
35,1,16,10,57,10.5,1.143135,4.841865,false
50,1,4,4,23,12.5,0.140875,2.734125,false
42,2,12,9,55,15,2.53275,5.71725,false
40,1,2,3,28,7.1,0.184884,1.803116,false
37,2,0,13,31,0.9,0.118017,0.160983,true
31,3,6,8,54,2.8,0.402192,1.109808,false
38,1,11,13,35,8,1.2656,1.5344,false
35,1,15,1,77,10.6,5.501188,2.660812,false
44,1,24,10,101,5.6,2.992024,2.663976,false
44,2,21,14,113,13.2,3.192024,11.723976,false
33,1,0,12,23,0.9,0.077418,0.129582,false
35,1,7,14,29,4.9,0.264306,1.156694,false
36,3,10,4,43,13,0.96148,4.62852,false
23,2,3,4,24,6.3,0.55188,0.96012,false
27,1,0,7,18,12.8,0.582912,1.721088,false
34,1,6,1,20,1.2,0.04248,0.19752,false
35,1,0,5,34,11.1,1.369962,2.404038,true
24,2,4,4,20,3.7,0.32412,0.41588,false
48,1,30,8,101,6.4,1.87456,4.58944,false
26,2,8,1,40,11.8,0.44368,4.27632,false
40,1,6,9,36,2.1,0.390852,0.365148,true
34,1,9,8,48,9.3,0.419616,4.044384,false
35,1,17,4,42,3,0.09324,1.16676,false
30,1,7,2,33,25.4,1.165098,7.216902,true
20,1,4,0,14,9.7,0.200984,1.157016,true
36,4,1,17,30,11.5,0.3243,3.1257,false
21,1,1,1,16,6.3,0.14112,0.86688,false
34,1,18,10,53,10.5,0.840315,4.724685,false
35,1,7,5,39,16.1,1.701609,4.577391,true
35,3,1,4,20,7.9,0.8532,0.7268,false
34,1,10,1,33,10.3,2.501664,0.897336,true
33,1,12,12,68,10.8,1.365984,5.978016,false
30,1,4,2,18,10.7,0.227268,1.698732,false
24,2,0,5,16,7.3,0.024528,1.143472,false
47,1,31,8,253,7.2,9.308376,8.907624,false
53,1,0,26,27,28.9,2.754459,5.048541,true
22,3,0,2,20,4.7,0.21902,0.72098,false
48,2,6,1,66,12.1,2.31594,5.67006,false
36,2,6,15,27,4.6,0.262062,0.979938,true
29,2,6,4,21,11.5,0.369495,2.045505,false
33,1,15,3,32,7.6,0.491264,1.940736,false
45,1,19,22,77,8.4,2.302608,4.165392,false
37,1,12,14,44,14.7,2.994684,3.473316,false
